turn,symbol,expected_file,policy,chars,tokens,system_tokens,tool_tokens,memory_tokens,retrieval_tokens,query_tokens,build_ms,file_hit,symbol_hit
13,to_vertex_cover,algorithms/bipartite/matching.py,token_min_hybrid,13759,3442,56,1013,1029,1299,45,0.06403599991244846,1,1
14,rsi_shc,algorithms/coloring/tests/test_coloring.py,full_repo_upper_bound,6545961,1636491,46,8456,5762,1622184,43,1.1924350000072081,1,1
14,rsi_shc,algorithms/coloring/tests/test_coloring.py,raw_grep_agent,80987,20248,46,8456,5762,5941,43,2.9683180000574794,1,1
14,rsi_shc,algorithms/coloring/tests/test_coloring.py,graph_retrieval_only,59524,14882,46,8456,5762,575,43,0.6426879999708035,1,1
14,rsi_shc,algorithms/coloring/tests/test_coloring.py,compact_state_only,32395,8101,56,1013,1048,5941,43,2.9730050000580377,1,1
14,rsi_shc,algorithms/coloring/tests/test_coloring.py,token_min_hybrid,10932,2735,56,1013,1048,575,43,0.5763880000131394,1,1
15,TestInEdgeView,classes/tests/test_reportviews.py,full_repo_upper_bound,6547713,1636929,46,8456,6198,1622184,45,1.36227100006181,1,1
15,TestInEdgeView,classes/tests/test_reportviews.py,raw_grep_agent,100365,25092,46,8456,6198,10347,45,2.4087559999088626,1,1
15,TestInEdgeView,classes/tests/test_reportviews.py,graph_retrieval_only,61990,15499,46,8456,6198,754,45,0.49039799989714083,1,1
15,TestInEdgeView,classes/tests/test_reportviews.py,compact_state_only,50003,12503,56,1013,1042,10347,45,2.2055599999930564,1,1
15,TestInEdgeView,classes/tests/test_reportviews.py,token_min_hybrid,11628,2910,56,1013,1042,754,45,0.4017149999526737,1,1
16,OutMultiEdgeDataView,classes/reportviews.py,full_repo_upper_bound,6549467,1637367,46,8456,6635,1622184,46,1.4777039999671615,1,1
16,OutMultiEdgeDataView,classes/reportviews.py,raw_grep_agent,148296,37075,46,8456,6635,21892,46,2.3397520000116856,1,1
16,OutMultiEdgeDataView,classes/reportviews.py,graph_retrieval_only,64162,16041,46,8456,6635,858,46,0.08056100000430888,1,1
16,OutMultiEdgeDataView,classes/reportviews.py,compact_state_only,68667,17168,56,1013,1053,15000,46,1.9172959999878003,1,1
16,OutMultiEdgeDataView,classes/reportviews.py,token_min_hybrid,12098,3026,56,1013,1053,858,46,0.06327500000224973,1,1
17,test_trophic_levels_even_more_complex,algorithms/centrality/tests/test_trophic.py,full_repo_upper_bound,6551228,1637807,46,8456,7071,1622184,50,1.4122270000598292,1,1
17,test_trophic_levels_even_more_complex,algorithms/centrality/tests/test_trophic.py,raw_grep_agent,71354,17839,46,8456,7071,2216,50,1.5716260000999682,1,1
17,test_trophic_levels_even_more_complex,algorithms/centrality/tests/test_trophic.py,graph_retrieval_only,67346,16837,46,8456,7071,1214,50,0.16158300002189208,1,1
17,test_trophic_levels_even_more_complex,algorithms/centrality/tests/test_trophic.py,compact_state_only,17584,4398,56,1013,1063,2216,50,1.272745999926883,1,1
17,test_trophic_levels_even_more_complex,algorithms/centrality/tests/test_trophic.py,token_min_hybrid,13576,3396,56,1013,1063,1214,50,0.12218400001984264,1,1
18,test_graph_power,algorithms/operators/tests/test_product.py,full_repo_upper_bound,6553044,1638262,46,8456,7531,1622184,45,1.1906729999964227,1,1
18,test_graph_power,algorithms/operators/tests/test_product.py,raw_grep_agent,79528,19883,46,8456,7531,3805,45,2.861397000060606,1,1
18,test_graph_power,algorithms/operator
